root,category,fixture,word,engine,outcome,median_ns,min_ns,max_ns,samples,below_floor,floor_ns,nonempty,predicate,construct,witness,note
machine,languages,metathesis-phase-isolation,bahain,complete,ok,430800,430800,430800,1,false,100,true,,,,
machine,languages,metathesis-phase-isolation,baha,complete,ok,170400,170400,170400,1,false,100,true,,,,
machine,languages,metathesis-phase-isolation,katibɯd,complete,ok,521800,521800,521800,1,false,100,true,,,,
machine,languages,metathesis-phase-isolation,katabɯd,complete,ok,571000,571000,571000,1,false,100,false,,,,
machine,languages,metathesis-phase-isolation,ktb,complete,ok,128100,128100,128100,1,false,100,true,,,,
machine,languages,metathesis-phase-isolation,,compiled,refused,,,,,false,100,,metathesis.faithful-swap-construction,prule 2 (MetathesisRule),"this rule's own pattern needs a construct crate::replace::pattern_slots does not support (Quantifier/Segments/Anchor/disagree-polarity alpha var), carries a Slot::Repeat occurrence (DTD-legal inside a MetathesisRule's own PhoneticSequence, though never attested in any fixture this crate has authored -- Slot::Alpha is additionally structurally IMPOSSIBLE here, not merely unsupported: pg_grammar::load::load_metathesis_rule resolves every node against an EMPTY VarTable, so any AlphaVariable inside a MetathesisRule errors the whole grammar load before reaching this predicate at all), or has no resolvable owning character-definition table -- NOT a direction, since openspec/changes/plan-construct-coverage-completion task 4.6 (docs/conformance/needs-decision-resolutions.md row 8): Dir::RightToLeft compiles via the same mirror-and-reverse construction compile_rtl_branch_net uses for RTL rewrite rules -- the real compiler already honestly skips (Ok(None)) this exact rule rather than silently mis-compiling it",
machine,languages,polysynthetic-stratal-derivation-chain,nuna,complete,ok,88500,88500,88500,1,false,100,true,,,,
machine,languages,polysynthetic-stratal-derivation-chain,nunaliq,complete,ok,230100,230100,230100,1,false,100,true,,,,
machine,languages,polysynthetic-stratal-derivation-chain,nunaliqvuq,complete,ok,469400,469400,469400,1,false,100,true,,,,
machine,languages,polysynthetic-stratal-derivation-chain,nunavuq,complete,ok,217700,217700,217700,1,false,100,false,,,,
machine,languages,polysynthetic-stratal-derivation-chain,akutat,complete,ok,262900,262900,262900,1,false,100,true,,,,
machine,languages,polysynthetic-stratal-derivation-chain,pitat,complete,ok,196400,196400,196400,1,false,100,true,,,,
machine,languages,polysynthetic-stratal-derivation-chain,akupitat,complete,ok,219500,219500,219500,1,false,100,false,,,,
machine,languages,polysynthetic-stratal-derivation-chain,akutas,complete,ok,102500,102500,102500,1,false,100,false,,,,
machine,languages,polysynthetic-stratal-derivation-chain,silanuk,complete,ok,257100,257100,257100,1,false,100,true,,,,
machine,languages,polysynthetic-stratal-derivation-chain,silamanuk,complete,ok,360500,360500,360500,1,false,100,true,,,,
machine,languages,polysynthetic-stratal-derivation-chain,silamak,complete,ok,265100,265100,265100,1,false,100,false,,,,
machine,languages,polysynthetic-stratal-derivation-chain,takuvuq,complete,ok,240600,240600,240600,1,false,100,false,,,,
machine,languages,polysynthetic-stratal-derivation-chain,bubu,complete,ok,160600,160600,160600,1,false,100,true,,,,
machine,languages,polysynthetic-stratal-derivation-chain,buibu,complete,ok,144900,144900,144900,1,false,100,false,,,,
machine,languages,polysynthetic-stratal-derivation-chain,kuuukuuu,complete,ok,322500,322500,322500,1,false,100,true,,,,
machine,languages,polysynthetic-stratal-derivation-chain,kuiikuii,complete,ok,219900,219900,219900,1,false,100,false,,,,
machine,languages,polysynthetic-stratal-derivation-chain,buuubuuu,complete,ok,316600,316600,316600,1,false,100,true,,,,
machine,languages,polysynthetic-stratal-derivation-chain,buiibuii,complete,ok,224200,224200,224200,1,false,100,false,,,,
machine,languages,polysynthetic-stratal-derivation-chain,mau,complete,ok,125200,125200,125200,1,false,100,true,,,,
machine,languages,polysynthetic-stratal-derivation-chain,matu,complete,ok,141200,141200,141200,1,false,100,false,,,,
machine,languages,polysynthetic-stratal-derivation-chain,nuna,compiled,ok,164200,164200,164200,1,false,100,true,,,,
machine,languages,polysynthetic-stratal-derivation-chain,nunaliq,compiled,ok,423100,423100,423100,1,false,100,true,,,,
machine,languages,polysynthetic-stratal-derivation-chain,nunaliqvuq,compiled,ok,886000,886000,886000,1,false,100,true,,,,
machine,languages,polysynthetic-stratal-derivation-chain,nunavuq,compiled,ok,411100,411100,411100,1,false,100,false,,,,
machine,languages,polysynthetic-stratal-derivation-chain,akutat,compiled,ok,369800,369800,369800,1,false,100,true,,,,
machine,languages,polysynthetic-stratal-derivation-chain,pitat,compiled,ok,373100,373100,373100,1,false,100,true,,,,
machine,languages,polysynthetic-stratal-derivation-chain,akupitat,compiled,ok,368500,368500,368500,1,false,100,false,,,,
machine,languages,polysynthetic-stratal-derivation-chain,akutas,compiled,ok,4200,4200,4200,1,false,100,false,,,,
machine,languages,polysynthetic-stratal-derivation-chain,silanuk,compiled,ok,296300,296300,296300,1,false,100,true,,,,
machine,languages,polysynthetic-stratal-derivation-chain,silamanuk,compiled,ok,399800,399800,399800,1,false,100,true,,,,
machine,languages,polysynthetic-stratal-derivation-chain,silamak,compiled,ok,3000,3000,3000,1,false,100,false,,,,
machine,languages,polysynthetic-stratal-derivation-chain,takuvuq,compiled,ok,1200,1200,1200,1,false,100,false,,,,
machine,languages,polysynthetic-stratal-derivation-chain,bubu,compiled,ok,328400,328400,328400,1,false,100,true,,,,
machine,languages,polysynthetic-stratal-derivation-chain,buibu,compiled,ok,210400,210400,210400,1,false,100,false,,,,
machine,languages,polysynthetic-stratal-derivation-chain,kuuukuuu,compiled,ok,539500,539500,539500,1,false,100,true,,,,
machine,languages,polysynthetic-stratal-derivation-chain,kuiikuii,compiled,ok,338500,338500,338500,1,false,100,false,,,,
machine,languages,polysynthetic-stratal-derivation-chain,buuubuuu,compiled,ok,535400,535400,535400,1,false,100,true,,,,
machine,languages,polysynthetic-stratal-derivation-chain,buiibuii,compiled,ok,346600,346600,346600,1,false,100,false,,,,
machine,languages,polysynthetic-stratal-derivation-chain,mau,compiled,ok,162000,162000,162000,1,false,100,true,,,,
machine,languages,polysynthetic-stratal-derivation-chain,matu,compiled,ok,193500,193500,193500,1,false,100,false,,,,
machine,languages,prefixal-discontinuous-slot-dependency,shiyidkal,complete,ok,106400,106400,106400,1,false,100,true,,,,
machine,languages,prefixal-discontinuous-slot-dependency,niyidtan,complete,ok,76900,76900,76900,1,false,100,true,,,,
machine,languages,prefixal-discontinuous-slot-dependency,bishiyidkal,complete,ok,106600,106600,106600,1,false,100,true,,,,
machine,languages,prefixal-discontinuous-slot-dependency,bishiwodkal,complete,ok,92800,92800,92800,1,false,100,false,,,,
machine,languages,prefixal-discontinuous-slot-dependency,yidkal,complete,ok,14200,14200,14200,1,false,100,false,,,,
machine,languages,prefixal-discontinuous-slot-dependency,kal,complete,ok,16500,16500,16500,1,false,100,false,,,,
machine,languages,prefixal-discontinuous-slot-dependency,shiwodkal,complete,ok,91100,91100,91100,1,false,100,true,,,,
machine,languages,prefixal-discontinuous-slot-dependency,gabishiyidkal,complete,ok,137300,137300,137300,1,false,100,true,,,,
machine,languages,prefixal-discontinuous-slot-dependency,hogabishiyidkal,complete,ok,191700,191700,191700,1,false,100,true,,,,
machine,languages,prefixal-discontinuous-slot-dependency,gahobishiyidkal,complete,ok,53400,53400,53400,1,false,100,false,,,,
machine,languages,prefixal-discontinuous-slot-dependency,shiyidkal,compiled,ok,85800,85800,85800,1,false,100,true,,,,
machine,languages,prefixal-discontinuous-slot-dependency,niyidtan,compiled,ok,76600,76600,76600,1,false,100,true,,,,
machine,languages,prefixal-discontinuous-slot-dependency,bishiyidkal,compiled,ok,104300,104300,104300,1,false,100,true,,,,
machine,languages,prefixal-discontinuous-slot-dependency,bishiwodkal,compiled,ok,82700,82700,82700,1,false,100,false,,,,
machine,languages,prefixal-discontinuous-slot-dependency,yidkal,compiled,ok,500,500,500,1,false,100,false,,,,
machine,languages,prefixal-discontinuous-slot-dependency,kal,compiled,ok,14300,14300,14300,1,false,100,false,,,,
machine,languages,prefixal-discontinuous-slot-dependency,shiwodkal,compiled,ok,101200,101200,101200,1,false,100,true,,,,
machine,languages,prefixal-discontinuous-slot-dependency,gabishiyidkal,compiled,ok,138000,138000,138000,1,false,100,true,,,,
machine,languages,prefixal-discontinuous-slot-dependency,hogabishiyidkal,compiled,ok,201600,201600,201600,1,false,100,true,,,,
