kutisiya	ok	INF-que-deixar-IND;INF-3S+1-que-deixar-IND;INF-1P-deixar-IND
cigamba	no-parse	-
kunyengerera	ok	INF-3S+1-enganhar-IND;INF-enganhar-IND
ndinati	no-parse	-
tora	no-parse	-
anapicepeseka	SKIPPED_PATHOLOGICAL	-
mbamuikha	ok	COHES-2P-14-pôr-IND;COHES-6-por-IND;COHES-3P+2-3S+1-por-IND;COHES-3S+1-por-IND;COHES-6-2P-pôr-IND;COHES-6-3S+1-por-IND;COHES-3S+1-2P-pôr-IND;COHES-3P+2-por-IND;COHES-3S+1-3S+1-por-IND;COHES-2P-pôr-IND;COHES-3P+2-2P-pôr-IND;COHES-3-14-pôr-IND
adasangula	no-parse	-
yamala	ok	4+5+9-PASSADO-acabar-IND;4+5+9-PASSADO-3S+1-acabar-IND
mafuta	ok	6-óleo;6-5-óleo;6-10-óleo;6-9-óleo
pidabuluswa	no-parse	-
alimi	ok	2-lavrador
di	ok	EVID
labasp	no-parse	-
adafonda	ok	3S+1-PLPRF-molhar comida-IND;3P+2-PLPRF-3S+1-molhar comida-IND;ele+PST-PLPRF-3S+1-molhar comida-IND;3P+2-PST2-molhar comida-IND;ele+PST-PLPRF-molhar comida-IND;3S+1-PLPRF-3S+1-molhar comida-IND;3P+2-PST2-3S+1-molhar comida-IND;3P+2-PLPRF-molhar comida-IND;6-PST2-molhar comida-IND;6-PLPRF-molhar comida-IND;3S+1-PST2-3S+1-molhar comida-IND;6-PLPRF-3S+1-molhar comida-IND;3S+1-PST2-molhar comida-IND;6-PST2-3S+1-molhar comida-IND
cathu	ok	coisa-1PL
anyakutonga	no-parse	-
kunsingirira	no-parse	-
piringan	no-parse	-
athamangisa	ok	ele+PST-3S+1-correr-CAU-IND;ele+PST-correr-CAU-IND
gurumbiza	no-parse	-
nonlabialaspirated	no-parse	-
doesn't	no-parse	-
anenda	ok	3P+2-NONPST-ir-IND;3S+1-NONPST-ir-IND;ele+PST-2P-ir-IND;6-NONPST-ir-IND
nsunga	ok	10-fermento;9-fermento
andizungulira	ok	ele+PST-3S+1-é-rodear-IND;ele+PST-é-rodear-IND;ele+PST-3S+1-é-rodear-IND;ele+PST-1S-rodear-IND;ele+PST-é-rodear-IND
pidamuona	ok	8-PST2-2P-ver-IND;8-PLPRF-2P-ver-IND
yamangwa	ok	4+5+9-PASSADO-amarrar-PAS-IND;4+5+9-PASSADO-3S+1-amarrar-PAS-IND
in	ok	4+5+9-ter
staying	no-parse	-
akhacitira	ok	3P+2-IMP-3S+1-fazer-APPLIC-IND;6-IMP-3S+1-fazer-APPLIC-IND;6-IMP-fazer-APPLIC-IND;3S+1-IMP-3S+1-fazer-APPLIC-IND;3S+1-IMP-fazer-APPLIC-IND;3P+2-IMP-fazer-APPLIC-IND
anyanyiratu	no-parse	-
seek	no-parse	-
n'kate	no-parse	-
zixanu	ok	10-10-sexta-feira;10-9-sexta-feira;10-10-quintete;10-9-quintete
izo	ok	eles
udawe	ok	2S-3S+1-pecar-SBJV;3-pecar-SBJV;2S-pecar-SBJV;14-pecar-SBJV;3-3S+1-pecar-SBJV;14-3S+1-pecar-SBJV
pedzi	ok	9-em vão;10-em vão;vazio
ikhadagumanikana	ok	4+5+9-IMP-PLPRF-3S+1-existir-REC-IND;4+5+9-IMP-PLPRF-encontrar-NEU-REC-IND;4+5+9-IMP-PLPRF-existir-REC-IND;4+5+9-IMP-PLPRF-3S+1-encontrar-NEU-REC-IND
pinati	ok	8-6-arvora
pidabiswa	no-parse	-
andidawisira	SKIPPED_PATHOLOGICAL	-
anag'ono	no-parse	-
n'zulu	no-parse	-
pfunzani	ok	1-estudar-REC-NZR;9-estudar-REC-NZR;10-estudar-REC-NZR;5-estudar-REC-NZR
ambvera	ok	ele+PST-3S+1-ouvir-APPLIC-IND;ele+PST-2P-obedecer-IND;ele+PST-3S+1-obedecer-IND;ele+PST-2P-ouvir-APPLIC-IND
anowo	no-parse	-
judeya	no-parse	-
vinyu	ok	9-vinho;10-vinho
uso	ok	14-9-olho;14-olho;14-10-olho
adzice	ok	2-não casada
ntolo	ok	10-bagagem;9-bagagem;18-bagagem;3-bagagem
secondário	no-parse	-
masikati	ok	6-10-tarde;6-9-tarde;6-tarde
anadza	ok	6-NONPST-3S+1-vir-IND;3P+2-NONPST-vir-IND;3P+2-NONPST-3S+1-vir-IND;3S+1-NONPST-vir-IND;6-NONPST-vir-IND;3S+1-NONPST-3S+1-vir-IND
